book,chapter,verse,text
"Genesis",1,1,"Genesis chapter 1 verse 1 (KJV visualization text)"
"Genesis",1,2,"Genesis chapter 1 verse 2 (KJV visualization text)"
"Genesis",1,3,"Genesis chapter 1 verse 3 (KJV visualization text)"
"Genesis",1,4,"Genesis chapter 1 verse 4 (KJV visualization text)"
"Genesis",1,5,"Genesis chapter 1 verse 5 (KJV visualization text)"
"Genesis",1,6,"Genesis chapter 1 verse 6 (KJV visualization text)"
"Genesis",1,7,"Genesis chapter 1 verse 7 (KJV visualization text)"
"Genesis",1,8,"Genesis chapter 1 verse 8 (KJV visualization text)"
"Genesis",1,9,"Genesis chapter 1 verse 9 (KJV visualization text)"
"Genesis",1,10,"Genesis chapter 1 verse 10 (KJV visualization text)"
"Genesis",1,11,"Genesis chapter 1 verse 11 (KJV visualization text)"
"Genesis",1,12,"Genesis chapter 1 verse 12 (KJV visualization text)"
"Genesis",1,13,"Genesis chapter 1 verse 13 (KJV visualization text)"
"Genesis",1,14,"Genesis chapter 1 verse 14 (KJV visualization text)"
"Genesis",1,15,"Genesis chapter 1 verse 15 (KJV visualization text)"
"Genesis",1,16,"Genesis chapter 1 verse 16 (KJV visualization text)"
"Genesis",1,17,"Genesis chapter 1 verse 17 (KJV visualization text)"
"Genesis",1,18,"Genesis chapter 1 verse 18 (KJV visualization text)"
"Genesis",1,19,"Genesis chapter 1 verse 19 (KJV visualization text)"
"Genesis",1,20,"Genesis chapter 1 verse 20 (KJV visualization text)"
"Genesis",1,21,"Genesis chapter 1 verse 21 (KJV visualization text)"
"Genesis",1,22,"Genesis chapter 1 verse 22 (KJV visualization text)"
"Genesis",1,23,"Genesis chapter 1 verse 23 (KJV visualization text)"
"Genesis",1,24,"Genesis chapter 1 verse 24 (KJV visualization text)"
"Genesis",1,25,"Genesis chapter 1 verse 25 (KJV visualization text)"
"Genesis",1,26,"Genesis chapter 1 verse 26 (KJV visualization text)"
"Genesis",1,27,"Genesis chapter 1 verse 27 (KJV visualization text)"
"Genesis",1,28,"Genesis chapter 1 verse 28 (KJV visualization text)"
"Genesis",1,29,"Genesis chapter 1 verse 29 (KJV visualization text)"
"Genesis",1,30,"Genesis chapter 1 verse 30 (KJV visualization text)"
"Genesis",2,1,"Genesis chapter 2 verse 1 (KJV visualization text)"
"Genesis",2,2,"Genesis chapter 2 verse 2 (KJV visualization text)"
"Genesis",2,3,"Genesis chapter 2 verse 3 (KJV visualization text)"
"Genesis",2,4,"Genesis chapter 2 verse 4 (KJV visualization text)"
"Genesis",2,5,"Genesis chapter 2 verse 5 (KJV visualization text)"
"Genesis",2,6,"Genesis chapter 2 verse 6 (KJV visualization text)"
"Genesis",2,7,"Genesis chapter 2 verse 7 (KJV visualization text)"
"Genesis",2,8,"Genesis chapter 2 verse 8 (KJV visualization text)"
"Genesis",2,9,"Genesis chapter 2 verse 9 (KJV visualization text)"
"Genesis",2,10,"Genesis chapter 2 verse 10 (KJV visualization text)"
"Genesis",2,11,"Genesis chapter 2 verse 11 (KJV visualization text)"
"Genesis",2,12,"Genesis chapter 2 verse 12 (KJV visualization text)"
"Genesis",2,13,"Genesis chapter 2 verse 13 (KJV visualization text)"
"Genesis",2,14,"Genesis chapter 2 verse 14 (KJV visualization text)"
"Genesis",2,15,"Genesis chapter 2 verse 15 (KJV visualization text)"
"Genesis",2,16,"Genesis chapter 2 verse 16 (KJV visualization text)"
"Genesis",2,17,"Genesis chapter 2 verse 17 (KJV visualization text)"
"Genesis",2,18,"Genesis chapter 2 verse 18 (KJV visualization text)"
"Genesis",2,19,"Genesis chapter 2 verse 19 (KJV visualization text)"
"Genesis",2,20,"Genesis chapter 2 verse 20 (KJV visualization text)"
"Genesis",2,21,"Genesis chapter 2 verse 21 (KJV visualization text)"
"Genesis",2,22,"Genesis chapter 2 verse 22 (KJV visualization text)"
"Genesis",2,23,"Genesis chapter 2 verse 23 (KJV visualization text)"
"Genesis",2,24,"Genesis chapter 2 verse 24 (KJV visualization text)"
"Genesis",2,25,"Genesis chapter 2 verse 25 (KJV visualization text)"
